Date,Time,Open,Max,Min,Closure,Volume
2014.09.02,00:00,1.3128,1.3136,1.3109,1.3132,4280
2014.09.03,00:00,1.3133,1.3159,1.3121,1.3148,5506
2014.09.04,00:00,1.3147,1.3153,1.2919,1.2935,8922
2014.09.05,00:00,1.2936,1.2988,1.2921,1.2950,6907
2014.09.08,00:00,1.2954,1.2958,1.2881,1.2899,6401
2014.09.09,00:00,1.2898,1.2957,1.2859,1.2939,7442
2014.09.10,00:00,1.2940,1.2962,1.2883,1.2916,8735
2014.09.11,00:00,1.2915,1.2951,1.2896,1.2923,7534
2014.09.12,00:00,1.2922,1.2978,1.2908,1.2964,7377
2014.09.15,00:00,1.2967,1.2969,1.2908,1.2940,5435
2014.09.16,00:00,1.2939,1.2994,1.2922,1.2957,7063
2014.09.17,00:00,1.2956,1.2981,1.2835,1.2844,10942
2014.09.18,00:00,1.2845,1.2929,1.2833,1.2915,8093
2014.09.19,00:00,1.2916,1.2928,1.2827,1.2828,8859
2014.09.22,00:00,1.2827,1.2867,1.2815,1.2846,6152
2014.09.23,00:00,1.2845,1.2900,1.2842,1.2848,6691
2014.09.24,00:00,1.2847,1.2863,1.2773,1.2777,6412
2014.09.25,00:00,1.2778,1.2782,1.2696,1.2751,8729
2014.09.26,00:00,1.2750,1.2760,1.2676,1.2682,7410
2014.09.29,00:00,1.2680,1.2714,1.2663,1.2688,6970
2014.09.30,00:00,1.2687,1.2702,1.2570,1.2630,9546
2014.10.01,00:00,1.2629,1.2639,1.2583,1.2618,9512
2014.10.02,00:00,1.2617,1.2698,1.2613,1.2669,13254
2014.10.03,00:00,1.2670,1.2672,1.2500,1.2513,9486
2014.10.06,00:00,1.2511,1.2674,1.2508,1.2652,8222
2014.10.07,00:00,1.2653,1.2681,1.2583,1.2664,12353
2014.10.08,00:00,1.2665,1.2748,1.2622,1.2730,13252
2014.10.09,00:00,1.2729,1.2791,1.2663,1.2688,14513
2014.10.10,00:00,1.2689,1.2715,1.2605,1.2628,10279
2014.10.13,00:00,1.2627,1.2768,1.2627,1.2740,9452
2014.10.14,00:00,1.2741,1.2748,1.2639,1.2657,11405
2014.10.15,00:00,1.2656,1.2886,1.2624,1.2815,21116
2014.10.16,00:00,1.2816,1.2844,1.2705,1.2803,20322
2014.10.17,00:00,1.2802,1.2836,1.2743,1.2759,10548
2014.10.20,00:00,1.2756,1.2816,1.2730,1.2794,8766
2014.10.21,00:00,1.2795,1.2839,1.2710,1.2711,10161
2014.10.22,00:00,1.2712,1.2739,1.2636,1.2644,9816
2014.10.23,00:00,1.2645,1.2676,1.2613,1.2645,9372
2014.10.24,00:00,1.2644,1.2695,1.2634,1.2669,7462
2014.10.27,00:00,1.2675,1.2722,1.2665,1.2695,7603
